certNumber,certType,city,critical,customerNumber,direct,inspectionDate,inspectionDateString,legalName,nonCritical,reportLink,siteName,state,teachableMoments,zip,hash_id
51-B-0036,Class B - Dealer,WALKERSVILLE,0,94,0,2014-03-27,3/27/2014,LONZA GROUP LTD,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000Egeld&d=%2Fa%2F3d000000pSDa%2F6gK7cbRcEYpOvWqzhqlGrL2Hvky0nKgegR4g3HcbLjM&asPdf=false,LONZA GROUP LTD,Maryland,0,21793,7fe30a3f78fb00e6
51-R-0038,Class R - Research Facility,WALKERSVILLE,0,94,0,2014-03-27,3/27/2014,LONZA GROUP LTD,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgfFH&d=%2Fa%2F3d000000pnia%2FWnFbZWvPlam8ZDCyWsvZONZcX0CQy4_riWVVt9dosfo&asPdf=false,LONZA GROUP LTD,Maryland,0,21793,bf6d2593f2822e9b
14-R-0123,Class R - Research Facility,FRAMINGHAM,0,154,0,2014-03-17,3/17/2014,GENZYME CORPORATION,1,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgYgq&d=%2Fa%2F3d000000ppQE%2FPHp44g8GrN89HeO8Cv5AGubmlSohII73prXC1Dt4urs&asPdf=false,GENZYME CORPORATION,Massachusetts,0,01701,a3c07b9486b1b507
14-R-0123,Class R - Research Facility,WALTHAM,0,154,0,2014-03-17,3/17/2014,GENZYME CORPORATION,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgiRa&d=%2Fa%2F3d000000pai1%2Fx8tMo7QDz6qnUWvgonVbHdfTbDXez.yJDNEkHDCatAI&asPdf=false,GENZYME WATHAM LOCATION,Massachusetts,0,02451,5ceef9443e2d1acd
14-R-0123,Class R - Research Facility,FRAMINGHAM,0,154,0,2015-04-23,4/23/2015,GENZYME CORPORATION,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000Egiow&d=%2Fa%2F3d000000pSsV%2Flw33DsngHO4TPOrFinuZVJBP1SHc_9PjaBSMG35on1s&asPdf=false,GENZYME CORPORATION,Massachusetts,0,01701,93630cf5ef14d860
14-R-0123,Class R - Research Facility,WALTHAM,0,154,0,2015-08-05,8/5/2015,GENZYME CORPORATION,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgleY&d=%2Fa%2F3d000000pmfo%2FNEflRyttBo1nhtq7ZcNPQ5ZGS.uJCAGFs1yoCDXLRBA&asPdf=false,GENZYME WATHAM LOCATION,Massachusetts,0,02451,c10c859f9070421e
14-R-0123,Class R - Research Facility,FRAMINGHAM,0,154,0,2015-10-27,10/27/2015,GENZYME CORPORATION,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000Egewt&d=%2Fa%2F3d000000pfIq%2FwS45gWnRE9RdXdMFbe_zSLroo81PnE4TCCD7ahd3b5M&asPdf=false,GENZYME CORPORATION,Massachusetts,0,01701,11fca39d1ce9662e
14-R-0123,Class R - Research Facility,WALTHAM,0,154,0,2015-10-28,10/28/2015,GENZYME CORPORATION,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgguR&d=%2Fa%2F3d000000phua%2FBGP5ntkeacpE95ITvqFNywE5FAMtathjJwRGtrjWh84&asPdf=false,GENZYME WATHAM LOCATION,Massachusetts,0,02451,62c9216b0f733110
14-R-0123,Class R - Research Facility,FRAMINGHAM,1,154,0,2017-04-27,4/27/2017,GENZYME CORPORATION,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgW5J&d=%2Fa%2F3d000000pmWg%2FUbxYAWIigPdaLjEL3d4YVey1MxYL7cq2SjanTYXkFfY&asPdf=false,GENZYME CORPORATION,Massachusetts,0,01701,e836f838ffa21946
14-R-0123,Class R - Research Facility,FRAMINGHAM,0,154,0,2017-10-04,10/4/2017,GENZYME CORPORATION,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EghfZ&d=%2Fa%2F3d000000phyZ%2FAjANWEi6C20l8SF3TnuLdrMIr01gHGbU_Uilyfv6byI&asPdf=false,GENZYME CORPORATION,Massachusetts,0,01701,5493d8da11944890
14-R-0123,Class R - Research Facility,FRAMINGHAM,0,154,0,2018-04-18,4/18/2018,GENZYME CORPORATION,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000Egnjm&d=%2Fa%2F3d000000pfxb%2FShoIlNUW792cDHtzAOHvuK9SeELjIJw_uQaiCOkPf4M&asPdf=false,GENZYME CORPORATION,Massachusetts,0,01701,1ddaf4e926c7b15e
21-R-0088,Class R - Research Facility,ANDOVER,0,339,0,2014-05-06,5/6/2014,Pfizer Global Research & Development,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgcKh&d=%2Fa%2F3d000000pb7r%2F3MabbliDcub47k6gX_HUq7VoZbHV4hoJJS06yRcxtmA&asPdf=false,PFIZER GLOBAL RESEARCH AND DEVELOPMENT,Massachusetts,0,01810,51f02763bcacf45a
21-R-0088,Class R - Research Facility,Pearl River,0,339,0,2014-05-08,5/8/2014,Pfizer Global Research & Development,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000Egb49&d=%2Fa%2F3d000000pTyg%2Fd14jnmRvPeEKRdPaF8ex6oJeARwJTwbBaYBy2KdXe8U&asPdf=false,PFIZER WORLDWIDE RESEARCH AND DEVELOPMENT,New York,0,10965,114047101cdf7c17
21-R-0088,Class R - Research Facility,GROTON,0,339,0,2014-07-08,7/8/2014,Pfizer Global Research & Development,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgZXf&d=%2Fa%2F3d000000phPf%2FXQBX6jjpIK2JfC35_guFa8xrS8VVY5LAvRg1CZvfnpU&asPdf=false,PFIZER WORLDWIDE RESEARCH AND DEVELOPMENT,Connecticut,0,06340,d5cc48c46528ef0f
21-R-0088,Class R - Research Facility,SAN DIEGO,0,339,0,2014-09-25,9/25/2014,Pfizer Global Research & Development,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000Egbf3&d=%2Fa%2F3d000000pSG7%2FdtDv4afLt6WpXLhY8tv8zaS89gWzdHkPOIp9cGK2qTo&asPdf=false,PFIZER GLOBAL RESEARCH AND DEVELOPMENT,California,0,92121,cfb21528f277de3d
21-R-0088,Class R - Research Facility,Pearl River,0,339,0,2015-04-20,4/20/2015,Pfizer Global Research & Development,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgboK&d=%2Fa%2F3d000000pTzC%2FR30zxmqjO0WaN6vp1ZY04hAg6i0mUpCzQv8bpfXnB0c&asPdf=false,PFIZER WORLDWIDE RESEARCH AND DEVELOPMENT,New York,0,10965,6fb2fb723aa3229a
21-R-0088,Class R - Research Facility,ANDOVER,0,339,0,2015-05-18,5/18/2015,Pfizer Global Research & Development,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000Egb4q&d=%2Fa%2F3d000000pflf%2FnV5pUGOP0GwENifnaoeVTf_9NGcXiA2vapU4ysjbDw8&asPdf=false,PFIZER GLOBAL RESEARCH AND DEVELOPMENT,Massachusetts,0,01810,4bb3d526f939ec11
21-R-0088,Class R - Research Facility,GROTON,0,339,0,2015-07-29,7/29/2015,Pfizer Global Research & Development,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgaFb&d=%2Fa%2F3d000000phQQ%2FbOgx2giSszD64sghxRuLS..um30YEbmlEmTuneRjyz0&asPdf=false,PFIZER WORLDWIDE RESEARCH AND DEVELOPMENT,Connecticut,0,06340,4ca0bb830994468b
21-R-0088,Class R - Research Facility,SAN DIEGO,0,339,0,2016-02-12,2/12/2016,Pfizer Global Research & Development,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgeSn&d=%2Fa%2F3d000000pUkU%2FYulTnsvX0rtNu2rlOaDQq7zy.Bxi_emzsLxyl_GMWmw&asPdf=false,PFIZER GLOBAL RESEARCH AND DEVELOPMENT,California,0,92121,b72e959184313053
21-R-0088,Class R - Research Facility,GROTON,0,339,0,2016-03-15,3/15/2016,Pfizer Global Research & Development,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgZHk&d=%2Fa%2F3d000000phQ0%2FPUZUye0K6dhTLTWJk9ZpDCwkI4s.BhjtIveKuK8i7Pw&asPdf=false,PFIZER WORLDWIDE RESEARCH AND DEVELOPMENT,Connecticut,0,06340,823db1b66a40e16c
21-R-0088,Class R - Research Facility,SAN DIEGO,0,339,0,2016-04-13,4/13/2016,Pfizer Global Research & Development,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgeXt&d=%2Fa%2F3d000000pS02%2Fzsy.5NaQbXCr.aka.C8Kms8GU_PQ8j7r71smWDUdxmc&asPdf=false,PFIZER GLOBAL RESEARCH AND DEVELOPMENT,California,0,92121,5c055c554b62126c
21-R-0088,Class R - Research Facility,Pearl River,0,339,0,2016-05-25,5/25/2016,Pfizer Global Research & Development,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgbFr&d=%2Fa%2F3d000000pTyQ%2FphEEm7iR5z.51znc61IFGZXopQvOIYXT8yhEzFhYLvg&asPdf=false,PFIZER WORLDWIDE RESEARCH AND DEVELOPMENT,New York,0,10965,b7c173a0e7038711
21-R-0088,Class R - Research Facility,ANDOVER,0,339,0,2016-07-26,7/26/2016,Pfizer Global Research & Development,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgcJ3&d=%2Fa%2F3d000000pkVO%2FZi1gbghycY62Yzdosqw4DL.ciVGIX0haJKIzFmLsBN0&asPdf=false,PFIZER GLOBAL RESEARCH AND DEVELOPMENT,Massachusetts,0,01810,c11c11fdc16cdabe
21-R-0088,Class R - Research Facility,GROTON,0,339,0,2017-01-25,1/25/2017,Pfizer Global Research & Development,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgZl8&d=%2Fa%2F3d000000phQf%2FcYTlspIjNPOKEKY7I0N1FswEIzWU4UmzfBZbf8eXyeI&asPdf=false,PFIZER WORLDWIDE RESEARCH AND DEVELOPMENT,Connecticut,0,06340,302dabbc6f70b464
21-R-0088,Class R - Research Facility,Pearl River,0,339,0,2017-05-17,5/17/2017,Pfizer Global Research & Development,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000Egb6s&d=%2Fa%2F3d000000pTz6%2F7pX1UB.Lua_r4owxfvIY.2TIB5Zd2iTHrZqJkms9V3o&asPdf=false,PFIZER WORLDWIDE RESEARCH AND DEVELOPMENT,New York,0,10965,989cb72b7b9b580e
21-R-0088,Class R - Research Facility,ANDOVER,0,339,0,2017-07-10,7/10/2017,Pfizer Global Research & Development,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgaGS&d=%2Fa%2F3d000000pfuK%2FQFQnRw9MVUZ.BeXtYXH3i7PCO7kVljcOc5x1J8rkujU&asPdf=false,PFIZER GLOBAL RESEARCH AND DEVELOPMENT,Massachusetts,0,01810,6963dd695fd5adcb
21-R-0088,Class R - Research Facility,SAN DIEGO,0,339,0,2017-07-19,7/19/2017,Pfizer Global Research & Development,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgdQ8&d=%2Fa%2F3d000000pnwT%2FVBgTpqLQ8ghAlDn0K8t_2uQlXrbYlsORb6QDbdYsy80&asPdf=false,PFIZER GLOBAL RESEARCH AND DEVELOPMENT,California,0,92121,794aaad6a31dc1e7
21-R-0088,Class R - Research Facility,Pearl River,0,339,0,2018-02-28,2/28/2018,Pfizer Global Research & Development,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgZMz&d=%2Fa%2F3d000000pTyH%2FSNSpP94FYBW4.1EUY4tl4CW3Wz_3owUfStA3dANGWxM&asPdf=false,PFIZER WORLDWIDE RESEARCH AND DEVELOPMENT,New York,0,10965,e195d9e18ad96d78
21-R-0088,Class R - Research Facility,GROTON,0,339,0,2018-06-20,6/20/2018,Pfizer Global Research & Development,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgZVh&d=%2Fa%2F3d000000phPp%2Feq8Ase6ULz9oGE2xjqJooc8pW3xAkpGI6KwpM68Z_rA&asPdf=false,PFIZER WORLDWIDE RESEARCH AND DEVELOPMENT,Connecticut,0,06340,be0d721a484bd7e3
21-R-0088,Class R - Research Facility,CAMBRIDGE,0,339,0,2018-07-12,7/12/2018,Pfizer Global Research & Development,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgcSe&d=%2Fa%2F3d000000pWSh%2FZhHBOlJOONox58A5FMuUCkjTzVGNDmPsrl_UA_f54Aw&asPdf=false,PFIZER GLOBAL RESEARCH & DEVELOPMENT,Massachusetts,0,02139,da1f4df08f2ddc50
21-R-0088,Class R - Research Facility,GROTON,0,339,0,2019-03-20,3/20/2019,Pfizer Global Research & Development,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000Ega86&d=%2Fa%2F3d000000phQq%2FSPDNDSxu06HPMtgPcwK9KvehzX213rFsNU5SXomNSkU&asPdf=false,PFIZER WORLDWIDE RESEARCH AND DEVELOPMENT,Connecticut,0,06340,eb084d2fa90a7a5e
21-R-0088,Class R - Research Facility,Pearl River,0,339,0,2019-06-03,6/3/2019,Pfizer Global Research & Development,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000Ega63&d=%2Fa%2F3d000000pTyS%2FOLIFJM0TvMiqK7d9ZPwttoPIRaxrMAt1cHKWM_BkYvc&asPdf=false,PFIZER WORLDWIDE RESEARCH AND DEVELOPMENT,New York,0,10965,4a2333b65d93f277
21-R-0088,Class R - Research Facility,SAN DIEGO,0,339,0,2019-07-17,7/17/2019,Pfizer Global Research & Development,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000Egd1I&d=%2Fa%2F3d000000pok9%2FXM0zQXNmYlgNp2EA2gXhUxkZnyZxjU6ZjEfjvDvmGj0&asPdf=false,PFIZER GLOBAL RESEARCH AND DEVELOPMENT,California,0,92121,8731306cf66d45c8
21-R-0088,Class R - Research Facility,CAMBRIDGE,0,339,0,2019-08-20,8/20/2019,Pfizer Global Research & Development,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgdKr&d=%2Fa%2F3d000000pnoc%2Fk4eklUNx8KIAOnf_fjuPMHbBQzbLjOXXd9MArmghZNk&asPdf=false,PFIZER GLOBAL RESEARCH & DEVELOPMENT,Massachusetts,0,02139,fa5f3d7cfe61c7c6
21-R-0088,Class R - Research Facility,GROTON,0,339,0,2020-02-26,2/26/2020,Pfizer Global Research & Development,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgZxO&d=%2Fa%2F3d000000phQV%2FY1631vGVCto5kWHdRMukc5inb0AljWsA3IvA7EtTY6o&asPdf=false,PFIZER WORLDWIDE RESEARCH AND DEVELOPMENT,Connecticut,0,06340,1c3743c5a26760ac
21-R-0088,Class R - Research Facility,Pearl River,0,339,0,2020-09-15,9/15/2020,Pfizer Global Research & Development,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgsWS&d=%2Fa%2F3d000000pTyN%2FBFeBtLHC7s6XUA2ErGyqGK9mzmVFhCQVudYwLnGmfXE&asPdf=false,PFIZER WORLDWIDE RESEARCH AND DEVELOPMENT,New York,0,10965,07468d90faf8b4bd
21-R-0088,Class R - Research Facility,Pearl River,0,339,0,2020-09-15,9/15/2020,Pfizer Global Research & Development,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000ErVF0&d=%2Fa%2F3d000000pTyZ%2F0fIDdhm21eoDpc3RlqqsggGFUUnAP0KaMzzm8FFsNvQ&asPdf=false,PFIZER WORLDWIDE RESEARCH AND DEVELOPMENT,New York,0,10965,85a59a5e9176f725
21-R-0088,Class R - Research Facility,SAN DIEGO,0,339,0,2020-09-16,9/16/2020,Pfizer Global Research & Development,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000FyEo2&d=%2Fa%2F3d000000pRk8%2FHlm2pQG4bZq5uMSfkpgeWUEzT9wTiQQ5xl5XnYK.uys&asPdf=false,PFIZER GLOBAL RESEARCH AND DEVELOPMENT,California,0,92121,a870937e3decc263
21-R-0088,Class R - Research Facility,CAMBRIDGE,0,339,0,2020-09-25,9/25/2020,Pfizer Global Research & Development,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000ErBnI&d=%2Fa%2F3d000000pg4i%2FhqrnuBu7b1LludxfRIRivzNViT5bEMacSHIKOdkC1pc&asPdf=false,PFIZER GLOBAL RESEARCH & DEVELOPMENT,Massachusetts,0,02139,91b1c00a271be10e
21-R-0088,Class R - Research Facility,GROTON,0,339,0,2021-06-15,6/15/2021,Pfizer Global Research & Development,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000NhMH8&d=%2Fa%2F3d000000phQW%2FG6OtLN9d.f62fXiDNBLxfK27RSyqpe8M5LLOvFnZpjA&asPdf=false,PFIZER WORLDWIDE RESEARCH AND DEVELOPMENT,Connecticut,0,06340,5fbc0563f917f1fc
21-R-0088,Class R - Research Facility,Pearl River,0,339,0,2021-06-22,6/22/2021,Pfizer Global Research & Development,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000NhPJS&d=%2Fa%2F3d000000pTyi%2FED1rqGBQasd_6ElRjr5oi0gq0w1jhsQ1DCoAGYckr.w&asPdf=false,PFIZER WORLDWIDE RESEARCH AND DEVELOPMENT,New York,0,10965,1ad409873c9a1623
21-R-0088,Class R - Research Facility,CAMBRIDGE,0,339,0,2021-08-04,8/4/2021,Pfizer Global Research & Development,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000PMo1U&d=%2Fa%2F3d000000pRsI%2FSmiJROjVs2VlU8U.2olesvkt17zlRWn7D6X2JTzhcts&asPdf=false,PFIZER GLOBAL RESEARCH & DEVELOPMENT,Massachusetts,0,02139,ff19a9e5b5a26c38
21-R-0088,Class R - Research Facility,SAN DIEGO,0,339,0,2022-01-26,1/26/2022,Pfizer Global Research & Development,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000V9AZy&d=%2Fa%2F3d000000ph11%2Fx2DYmPuVslBW9ftk5xkNlIa_4tAW7xZt8xiKikYjMAc&asPdf=false,PFIZER GLOBAL RESEARCH AND DEVELOPMENT,California,0,92121,58b8ae743401e02d
21-R-0088,Class R - Research Facility,GROTON,0,339,0,2022-06-09,6/9/2022,Pfizer Global Research & Development,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000YxChQ&d=%2Fa%2F3d000000phQD%2FyGQS70D_5Jcb_KPUYpRbZ8GhZvFhJMaE4rSJAt9_iS0&asPdf=false,PFIZER WORLDWIDE RESEARCH AND DEVELOPMENT,Connecticut,0,06340,e9d6006e476f8a80
21-R-0088,Class R - Research Facility,Pearl River,0,339,0,2022-08-02,8/2/2022,Pfizer Global Research & Development,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000YxzeD&d=%2Fa%2F3d000000pXhi%2FxI_nkraavpVju0qEOfsNXKjztGA0ZaKrVGrTR90m1mk&asPdf=false,PFIZER WORLDWIDE RESEARCH AND DEVELOPMENT,New York,0,10965,4c213eb1c6948896
21-R-0088,Class R - Research Facility,GROTON,0,339,0,2023-03-29,3/29/2023,Pfizer Global Research & Development,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=0683d000007uhpo&d=%2Fa%2F3d0000012wdS%2F4p748ReWhHJkfBO8De7FcnZyA73SV06z_a5BzfDUWlk&asPdf=false,PFIZER WORLDWIDE RESEARCH AND DEVELOPMENT,Connecticut,0,06340,54189ee8fc185c2d
21-R-0088,Class R - Research Facility,Pearl River,0,339,0,2023-05-17,5/17/2023,Pfizer Global Research & Development,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=0683d000008ThDR&d=%2Fa%2F3d000001De3O%2F4yc6tP9lbQcTV6snNwDs0hqG5u7H_xroioUbPmXFrmE&asPdf=false,PFIZER WORLDWIDE RESEARCH AND DEVELOPMENT,New York,0,10965,88e9e8cf9fa659bc
21-R-0088,Class R - Research Facility,GROTON,0,339,0,2024-05-08,5/8/2024,Pfizer Global Research & Development,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=0683d00000DXeDL&d=%2Fa%2F3d000002vhSq%2FC9qF21GrWXr_6NFJQ05DtI0CnS0kr8faFNhSS800bGY&asPdf=false,PFIZER WORLDWIDE RESEARCH AND DEVELOPMENT,Connecticut,0,06340,e5c314b341add86d
21-R-0088,Class R - Research Facility,Pearl River,0,339,0,2024-09-16,9/16/2024,Pfizer Global Research & Development,1,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068SJ000008rsaZ&d=%2Fa%2FSJ000000bKkX%2FaKvnbr5M0qo1LNvojCUn5CUYqcKlJokxA6Tw2q4ch38&asPdf=false,PFIZER WORLDWIDE RESEARCH AND DEVELOPMENT,New York,0,10965,5faa7216b2696365
86-R-0002,Class R - Research Facility,TEMPE,0,1043,0,2014-02-25,2/25/2014,Arizona State University,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000Egb8c&d=%2Fa%2F3d000000pfFO%2FXWw37iewmV2DhtE4JNESVBOn1HOmTnXtyrxYfO2TULw&asPdf=false,DEPARTMENT OF ANIMAL CARE & TECHNOLOGIES,Arizona,0,85287,1057f73f27410222
86-R-0002,Class R - Research Facility,TEMPE,0,1043,0,2015-02-09,2/9/2015,Arizona State University,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgahF&d=%2Fa%2F3d000000pfGM%2FxtHVPspew5W51K26X6OD0zfOFSYrshfeMfkztHkgGNc&asPdf=false,DEPARTMENT OF ANIMAL CARE & TECHNOLOGIES,Arizona,0,85287,26ed6fb1cab3c1f6
86-R-0002,Class R - Research Facility,TEMPE,0,1043,0,2015-06-30,6/30/2015,Arizona State University,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgerY&d=%2Fa%2F3d000000pfHw%2FWdFFtbfzZP9C9PrP99WJh9QVDE2WjGcavQfV.Y65wNw&asPdf=false,DEPARTMENT OF ANIMAL CARE & TECHNOLOGIES,Arizona,0,85287,1c98ac1a5786abe3
86-R-0002,Class R - Research Facility,TEMPE,0,1043,0,2016-01-07,1/7/2016,Arizona State University,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgYtw&d=%2Fa%2F3d000000pfIT%2FQfpWwdI.2u5BcqPTq4QYeMog.p60ZpdR1isVdljcuNo&asPdf=false,DEPARTMENT OF ANIMAL CARE & TECHNOLOGIES,Arizona,0,85287,095ced535df3474d
86-R-0002,Class R - Research Facility,TEMPE,0,1043,0,2017-06-28,6/28/2017,Arizona State University,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000Egayh&d=%2Fa%2F3d000000pfG6%2FGZmTFK0usulou6F43OQ1BjDoYZObSP5JkZWo1FWxk6Q&asPdf=false,DEPARTMENT OF ANIMAL CARE & TECHNOLOGIES,Arizona,0,85287,fa5f7226550f8e89
86-R-0002,Class R - Research Facility,TEMPE,0,1043,1,2018-01-16,1/16/2018,Arizona State University,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000Dnx3d&d=%2Fa%2F3d000000pfGu%2FGO9kukjp19DPGxY3xm.S2s5TV0mWts0hbVsZDVzxZBE&asPdf=false,DEPARTMENT OF ANIMAL CARE & TECHNOLOGIES,Arizona,0,85287,d23bf133593eaad0
86-R-0002,Class R - Research Facility,TEMPE,0,1043,0,2018-03-08,3/8/2018,Arizona State University,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgdE7&d=%2Fa%2F3d000000pfGf%2FvyL_Vguys.zNpEhZ6zFmQedOnd0JltltEXd9E1dUjIU&asPdf=false,DEPARTMENT OF ANIMAL CARE & TECHNOLOGIES,Arizona,0,85287,f5ee2d86b5ee7b99
86-R-0002,Class R - Research Facility,TEMPE,0,1043,0,2018-04-25,4/25/2018,Arizona State University,1,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgXrp&d=%2Fa%2F3d000000pfFv%2Ff4NszuO7nfYYWbhueB0jX4ESLweDZjw4evOpPMy_UfY&asPdf=false,DEPARTMENT OF ANIMAL CARE & TECHNOLOGIES,Arizona,0,85287,dd265cbc78d0a893
86-R-0002,Class R - Research Facility,TEMPE,0,1043,0,2019-02-21,2/21/2019,Arizona State University,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000Egcrr&d=%2Fa%2F3d000000pfFW%2FlSrmqrdjL0_MZ4EBtFuXPJfA3aU_Y1ewDqKvM3thK50&asPdf=false,DEPARTMENT OF ANIMAL CARE & TECHNOLOGIES,Arizona,0,85287,e64e3b2f568bf6f6
86-R-0002,Class R - Research Facility,TEMPE,0,1043,0,2019-06-25,6/25/2019,Arizona State University,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgcoT&d=%2Fa%2F3d000000pfFR%2FqSPAk4LaFyTZnJnEDTxrUtESlCwgP79GXJDydoLW91s&asPdf=false,DEPARTMENT OF ANIMAL CARE & TECHNOLOGIES,Arizona,0,85287,0a7499e0e74429fe
